content,url,title,subtitle
"<p>Lindon, UT -- July 6, 2005 -- Ken Bretschneider, DigiCert's CEO, announced the launch today, saying ""Our objective is to secure a qualified network of Authorized Partners around the world, by upholding the highest standards of security, integrity, and customer support.""</p>,<p>""We would like to thank all the new partners who were waiting for the launch. Your response has been sensational, and all the positive feedback is much appreciated. We also welcome new partners world-wide. Licenses are still available in most countries,"" he said.</p>,<p>This program is perfect for ISPs, Hosting Companies, Web Developers and Server Admins. The DigiCert SSL reseller program is designed to generate additional income, without more overhead. The enrollment process is easy and free, and there is absolutely no investment or start-up fee. There is no risk, and you can earn ongoing residual income year after year.</p>,<p>DigiCert empowers each authorized partner with an extensive web-based Account Manager, where they can view sales in real-time quickly and easily, with comprehensive, downloadable reports. DigiCert also provides free 24 hour support to resellers and their customers throughout the sales process, from start to finish, with ongoing support after the sale.</p>,<p>Private ownership, financial stability and progressive revenue growth has enabled DigiCert to pursue its vision of excellence. According to Mr. Bretschneider, ""DigiCert is also poised for verticle expansion into several new and innovative SSL services, there are exciting opportunities right around the corner for our authorized partners, who will earn additional revenue streams through this same channel.""</p>,<p>For more information about DigiCert's <a href=""https://www.digicert.com/digital-certificate-reseller-program.htm"">SSL Partner Program</a> call Toll Free: 1-800-896-7973, or Email: <a href=""mailto:sales@digicert.com"">sales@digicert.com</a>.</p>,<p>This business is about Trust, so choose your partners wisely!</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2005-07-06-partner-program.htm,<h1>DigiCert Launches New SSL Partner Program</h1>,"<h2>DigiCert announces a new global business opportunity for ISPs, Web Hosts, Server Admins, and Web Developers</h2>"
"<p>Lindon, UT -- August 10, 2005 -- Today Ken Bretschneider, CEO of DigiCert, Inc. announced that DigiCert has met the WebTrust standards for SSL Certificate Authorities, set by the American Institute of Certified Public Accountants [AICPU].</p>,<p>""We are very proud to be WebTrust compliant,"" said Mr. Bretschneider, ""Only firms with the absolute highest levels of security and integrity can pass such a rigorous audit."" DigiCert follows a complex process of stringent procedures to ensure that your security is not compromised, and that there is appropriate authentication of every certificate we issue,"" he said.</p>,<p>Today WebTrust is playing a key role in establishing consumer confidence in trusted brands like DigiCert.</p>,<p>Under the WebTrust program, DigiCert is rigorously audited to ensure compliance with the following WebTrust principles:</p>,<p>Large organizations cannot afford the risk of a compromised certificate. They need reliable assurance that their SSL Certificate Authority maintains strong security controls, and strictly adheres to SSL standards when issuing certificates. WebTrust certification provides that assurance.</p>,<p><strong>About WebTrust</strong></p>,<p>The AICPA/CICA WebTrust program for Certification Authorities was created to 
		increase consumer confidence in the Internet as a vehicle for conducting e-commerce and to increase consumer confidence in the application of PKI technology.</p>,<p>The AICPA/CICA have developed WebTrust® criteria as set of standards/principles for CAs like DigiCert. Only qualified CPA firms are licensed by the AICPA/CICA to evaluate Certification Authorities. To find out more, read the WebTrust Program for Certification Authorities.</p>,<p>The WebTrust Certification Program follows a set of rigid Standards/Principles as established and maintained by AICPA/CICA. Only those Certified Authorities (CAs) such as DigiCert, who meet or exceed the qualifying criteria can achieve WebTrust Certification.</p>,<p><strong>About DigiCert</strong></p>,<p>DigiCert is a US-based commercial CA specializing in High-Assurance SSL Certificate and Identity Assurance Services globally, to a variety of sectors including business, education, and government. DigiCert is a WebTrust certified certificate authority and a member of the CA/Browser Forum and the World Wide Web Consortium (W3C). DigiCert provides its customers with innovative products at value pricing and is committed to exemplary support.</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2005-08-10-webtrust.htm,<h1>SSL internet security wildcard SSL certificate</h1>,<h2>DigiCert meets WebTrust standards for SSL Certificate Authorities</h2>
"<p>March 7, 2007 -- In a combined effort with Microsoft, DigiCert is excited to introduce the new DigiCert Unified Communications UCC Certificate.  UC certificates are sometimes called SAN Certificates, because they use Subject Alternative Names (SANs) to secure up to 25 different fully qualified domain names.  They are designed to work with the new Microsoft Unified Communications server.  In addition, <a href=""https://www.digicert.com/multi-domain-ssl.htm"">UCC Certificates</a> are an excellent solution for server administrators who wish to secure many different domain names with the same certificate.  Because all DigiCert UC certificates are issued with an unlimited server license, server administrators have the freedom to install their certificates to as many different server as they wish at no extra cost.</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2007-03-07-uc-certs.htm,<h1>DigiCert offers Unified Communications Certificates</h1>,<h2>New product designed for Microsoft Exchange Server uses SANs to secure multiple names</h2>
"<p>November 5, 2007 -- A new certificate installation test utility has been launched on the DigiCert website to help customers confirm that their certificate is correctly installed to their server.  The new installation test provides the following information of any certificate installation:</p>,<p>The new certificate installation test can be found at <a href=""https://www.digicert.com/help/"">https://www.digicert.com/help/</a></p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2007-11-05-chain-checker.htm,<h1>New certificate installation test utility launched</h1>,<h2>Utility helps customers confirm that their certificate is installed correctly</h2>
"<p>April 1, 2007 -- A new “Plus” feature has been added to all DigiCert single-name, EV, and WildCard certificates to further improve compatibility.  The new “Plus” feature means different things for different certificates:</p>,<p>For Single-Name and EV Certificates – All DigiCert Single-Name and EV certificates are now designed to authenticate to the domain name with and without the leading “www.”  Previously, certificates were only issued to work with the “www.” or without it, but not both ways. With the new “Plus” feature, your Single-Name or EV certificate will work seamlessly, regardless of whether or not your visitors include “www.” in the URL.</p>,<p>For Wildcard Certificates – The plus feature includes the base domain (""example.com"" in a certificate issued to ""*.example.com""), overcoming a flaw in traditional wildcard certificates.  WildCard Plus also allows for compatibility for Windows Mobile 5, which does not otherwise accept the ""*"" character that is basic to the syntax of Wildcard Certificates.  Server administrators have the ability to include specific subdomains in their Wildcard certificates, which provides a method of name authentication that is compatible with Windows Mobile 5.</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2007-04-01-plus-feature.htm,"<h1>DigiCert adds Plus feature to single-name, EV, and WildCard certificates</h1>",<h2>Plus feature improves flexibility and compatibility</h2>
"<p>July 31, 2008 -- Today DigiCert launched a new site designed to improve and simplify the SSL shopping experience for customers.  The new DigiCert layout provides faster answers to the most commonly asked questions.  It is easier to read and navigate, and visitors now have the freedom to shop by their server type, their server configuration, or even the type of organization that they are purchasing for.</p>,<p>Our customers have given us quality feedback for improving our site, and we have listened.  We are dedicated to giving our customers the best support possible, and we feel that one of the best ways that we can do this is through providing a website that is geared towards their needs.  We invite our customers to share with us any further suggestions that they may have for improving our site.  Please feel free to tell us what you think by sending an email to <a href=""mailto:support@digicert.com"">support@digicert.com</a>.</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2008-07-31-new-design.htm,<h1>DigiCert Launches New Design</h1>,"<h2>DigiCert launches its new design, geared towards improving user experience and making the SSL-buying process easier.</h2>"
"<p>
            January 5, 2009 -- On December 30, 2008 a group of security researchers reported that by exploiting a known weakness in the MD5 hashing algorithm, they were able to create a rogue intermediate CA certificate under the ""Equifax Secure Global eBusiness CA-1"" root certificate, belonging to GeoTrust's RapidSSL brand.
        </p>,<p>
            Because all certificates issued by DigiCert use the SHA-1 standard, we are happy to reassure all our past, present, and future customers that these findings do not present any reason for them to worry about the integrity of their DigiCert SSL certificates.
            The fact that DigiCert uses SHA-1 instead of the outdated MD5, along with various other internal controls, makes the attack by <a href=""http://www.win.tue.nl/hashclash/rogue-ca/#sec5"" target=""blank"">the MD5 researchers</a> impossible.
	</p>,<p>The recent findings also highlight the problems inherent in the practice of issuing domain validated certificates, which can be issued automatically, with no human element in the verification process.
	
	Though frequently the companies that issue these ""rapid,"" ""instant,"" ""low assurance,"" or ""automated"" certificates tout the speed with which SSL certificates can be issued, these certificates provide no assurance that the certificate belongs to a real company.</p>,<p>To protect our customers, DigiCert issues only organization-validated, high assurance SSL certificates.  This, in addition to other security practices, helps to prevent phishing and other abuses.</p>,<p>Netcraft, an internet services and security company, reported the following in <a href=""http://news.netcraft.com/archives/2009/01/01/14_of_ssl_certificates_signed_using_vulnerable_md5_algorithm.html"" target=""blank"">addressing the issue</a>:
		</p>,<p>""The researchers have noted that certificates for <a href=""https://www.digicert.com/ev-ssl-certification.htm"">Extended Validation (EV) SSL</a> websites cannot be faked in this way - because the EV standard requires SHA1 or better signatures, and indeed there are no MD5-signed EV certificates found by our survey. 
			This shows that requiring minimum standards from the CAs can have positive effects - hopefully browser vendors will take note, and start requiring that CAs apply similar minimum standards to other certificates.""
		</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2009-01-05-md5-ssl.htm,<h1>MD5 Certificate Vulnerability</h1>,<h2>SSL Certificates With MD5 Cryptographic Standards Considered Insecure - All DigiCert Customers Unaffected.</h2>
"<p>LINDON, UT (September 17, 2008) — DigiCert, Inc., the most trusted provider of enterprise-class high-assurance SSL certificates, has expanded its industry-leading line of SSL certificate encryption and authentication products to provide greater flexibility, compatibility and simplicity for SSL security certificate managers with an affordable and easy-to-manage solution. </p>,<p>Two enhanced products – Unified Communications Certificate and WildCard Plus – offer unprecedented dynamic security for multiple server names and expand platform compatibility, and two new CSR Command Generators help customers cut through the cumbersome technical components of SSL management. </p>,<p>“We have built an exemplary reputation for providing very strong 256-bit SSL certificates to some of the most recognized and demanding organizations in the world, from Fortune 500 companies to national and state governments and educational and medical institutions,” said Ken Bretschneider, CEO of DigiCert, Inc. “These new products and tools reflect our passion for providing our customers with solutions to make the SSL environment easier to manage, with the same outstanding security they’ve come to expect.”</p>,<p><strong>Unified Communications (UC) Certificate</strong></p>,<p>DigiCert’s UC, or SAN, Certificate provides unlimited server license to secure multiple servers with a user-controlled Subject Alternative Name (SAN) field to include up to 25 SANs in one certificate, even if host names are on different domains. Designed specifically for Microsoft Exchange Server 2007 and Office Communications Server 2007, but compatible with any platform, DigiCert’s UC Certificates cost as little as $262 per year for four server names. Requesting a UC certificate is made easier by DigiCert’s exclusive <a href=""https://www.digicert.com/easy-csr/exchange2007.htm"">CSR Command Generator for Exchange</a>, a free web-based application that eliminates the need to learn Exchange's New-ExchangeCertificate command and its confusing syntax.</p>,<p>“The Unified Communications SAN Certificate allows you to run all services on one IP address, significantly reducing the complexity of server configuration,” DigiCert CTO Paul Tiemann said. “It’s simple to add and remove SANs with our online certificate management tools and much easier to maintain than putting multiple IP addresses on your server and assigning a different certificate to each one. It’s also much cheaper – you pay only for the names you use, whether it's four or 25, with no ‘gotcha’ or hidden fees.”</p>,<p><strong>Wildcard Plus</strong></p>,<p>Designed for system administrators managing multiple subdomains or multiple servers, a DigiCert WildCard Plus certificate eliminates maintenance headaches and saves valuable time and cost typically associated with managing multiple certificates with varying expiration dates. WildCard Plus provides security for an entire domain (*.example.com), including www.example.com, mail.example.com and any other first-level subdomain; it even includes the base domain -- example.com – something traditional wildcard products do not offer.</p>,<p>DigiCert’s WildCard Plus also enhances mobile device compatibility by using the SAN field to overcome syntax errors related to the requisite asterisk (*) character in most wildcard certificates. While some mobile clients, including Windows Mobile 5, do not support the asterisk (*) for wildcard name matching, they do support SANs. DigiCert’s WildCard Plus resolves the syntax error by allow the addition of up to 10 specific subdomains. </p>,<p>“By adding the wildcard and the mail server name, for example, to the same certificate, mobile devices can now accept the specific host name,” Bretschneider said. “And because this is done with our Unlimited Server License, you can issue multiple certificates for as many subdomains as you need. Those ten additional subdomains are per certificate, so the Unlimited Server License essentially makes this unlimited, too. In the past, the only option was to add separate SSL Certificates. We’ve had many large clients save thousands of dollars with a WildCard Plus certificate, versus managing multiple certificates individually.” </p>,<p><strong>Easy CSR Command Generators</strong></p>,<p>DigiCert's Easy CSR Command Generators are free web-based tools designed to simplify the certificate signing request process for <a href=""https://www.digicert.com/easy-csr/openssl.htm"">generating CSRs in OpenSSL</a> and MS Exchange and eliminate the need to memorize cumbersome technical syntax. These tools enable certificate managers to compile the command using pre-defined fields and then generate the command code to embed into their server.</p>,<p>“The CSR Command Generators are truly unique tools in the industry,” said Jeff Snider, DigiCert's Director of Web Development. “Managing SSL certificates can be a complicated technical process, and we’re committed to making it as simple as possible and to providing the most value to our customers. These free tools are designed specifically to do just that.”</p>,<p>DigiCert offers a 30-day trial period for all SSL certificate products and provides a full 100% money-back guarantee. All products are backed by DigiCert’s industry-leading personalized support service, including step-by-step certificate setup and installation and ongoing support. DigiCert is a WebTrust Certified Certificate Authority, a member of the CA/Browser Forum and the W3C Consortium.</p>,<p>For more information, visit <a href=""https://www.digicert.com/"">www.digicert.com</a>.</p>",https://www.digicert.com/news/2008-09-17-uc-wildcard-csr.htm,<h1>UC/SAN and WildCard Certificates; CSR Generation Tools</h1>,<h2>Unified Communications Certificate Secures Up to 25 Server Names; WildCard Plus Extends Mobile Compatibility; Easy CSR Tools Make Generating SSL Requests Quick and Easy</h2>
"<p>February 5, 2009 -- With fraud and identity theft as the top concerns of today's online consumers, Extended Validation (EV) SSL can increase user trust for any online business.</p>,<p>With today's addition of Opera, DigiCert EV certificates are now supported in 100% of EV-enabled browsers.  Opera is added to a list of browsers that support the ""green bar"" for DigiCert EV SSL that also includes Internet Explorer, Firefox, Safari, Chrome, and Flock.</p>,<p><img src=""/images/ev-browsers.png"" width=""700"" border=""0""></p>,<p>Because Extended Validation certificates require a more rigorous fraud-prevention and identity verification process than that of standard SSL certificates, the web browser address bar will turn green when users visit your site, verifying your authenticity and increasing trust.</p>,<p>Your success is built on trust.  Increased trust means increased conversions, and confidence at checkout time.</p>,<p>For emerging companies, EV SSL certificates help to establish your online legitimacy. For high-profile businesses or organizations that are especially susceptible to phishing attacks, the green bar helps to protect your customers against fraud.</p>,<p>Your users need to know that their sensitive information is safe. Get increased confidence by securing your site with the strongest encryption in the industry.</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2009-02-05-opera-ev.htm,<h1>EV SSL Certificate Compatibility Expanded to Opera</h1>,<h2>Extended Validation SSL Certificates from DigiCert Now Provide Expanded Green Bar Verification in All EV-Enabled Browsers</h2>
"<p>
			March 16, 2009 -- Server security certificates from DigiCert help satisfy PCI-DSS (Payment Card Industry Data Security Standard) compliance requirements with strong SSLv3 capable certificates.
			Protection and encryption of cardholder data (such as that provided by SSL/TLS) is required by PCI-DSS Control Objectives. 
		</p>,<p>
			Find out more about how DigiCert can help you pass the PCI Compliance Audit with our new <a href=""https://www.digicert.com/news/DigiCert_PCI_White_Paper.pdf"">PCI compliance white paper</a>.
		</p>,<p><a href=""https://www.digicert.com/news-archive.htm"">Return to News Archive</a></p>,<p><a href=""https://www.digicert.com/newsroom.htm"">Return to Main News Page</a></p>",https://www.digicert.com/news/2009-03-16-pci-white-paper.htm,<h1>PCI Compliant SSL Certificate Encryption</h1>,<h2>DigiCert Outlines PCI Compliance in New White Paper</h2>
